facilitate, 가능하게 하다
extract, 발췌
diversity, 다양성
chronic, 만성병 환자
collaborative, 협력적인
downturn, 하강
organisation, 조직
overlap, 겹치다
trigger, 방아쇠
revelation, 시현
degradation, 하락
delicacy, 섬세
equitable, 공정한
potent, 유력한
converge, 모이다
microbe, 미생물
radical, 근본적인
accessible, 얻기 쉬운
undermine, 훼손하다
replacement, 대사
boon, 혜택
staple, 스테이플
rigorous, 엄밀한
herald, 전령
trivialise, 하찮게 여기다
polyester, 폴리에스테르
earner, 소득자
kerb, 연석
aground, 좌초하다
stalk, 줄기
sustainability, 지속 가능성
archipelago, 열도
nonetheless, 그래도 여전히
leapfrog, 뛰어오르다
contributory, 출자 의무
consistent, 일관된
evolutionary, 진화론적인
lure, 매혹
exploitative, 착취적인
logical, 논리적
unsympathetic, 동정심 없는
smirk, 능글맞게 웃다
heritage, 유산
originate, 유래하다
boost, 후원
comparable, 유사한
supplant, 대체하다
demonstration, 데모
surge, 급등하다
waxy, 밀랍 같은
culmination, 최고점
upwelling, 용승
suitability, 적당
emulate, 에뮬레이트하다
prolific, 다작
decomposition, 분해
eardrum, 귀청
traverse, 횡단
emboss, 엠보싱
advent, 출현
constitute, 구성하다
patronage, 후원
reconstruct, 재구성하다
enterprize, 기업화하다
skeleton, 해골
donor, 기증자
notion, 개념
assessment, 평가
scandal, 추문
notable, 주목할 만한
exemplify, 예시하다
efficacy, 효능
emission, 방사
participation, 참여
scurry, 소나기
affordability, 경제성
sustenance, 생계
assert, 주장하다
hard-core, 하드코어
burgeon, 눈
quota, 몫
commitment, 약속
bacteria, 박테리아
fossil, 화석
preferable, 선택할 만한
frustrate, 좌절시키다
initiate, 시작하다
uneconomic, 비경제적인
salvage, 구제
plague, 역병
dissemination, 씨 뿌리기
proponent, 제안자
drouth, 가뭄
synchronise, 동기화
graze, 찰과상
rectify, 바로잡다
simultaneous, 동시
detrimental, 해로운
tribute, 공물
adolescent, 한창 젊은
irresistible, 꼼짝 못하게 하는
reservoir, 저수지
purposeful, 목적이 있는
anecdote, 일화
treatise, 논문
integrative, 통합적인
awe, 두려움
whereas, 반면
colloquial, 구어체
enhance, 향상시키다
incorporate, 포함하다
module, 기준 치수
intervene, 개입하다
ozone, 오존
noticeable, 눈에 띄는
manifestation, 표명
encroachment, 잠식
graphical, 그래픽
overwhelm, 압도하다
nuance, 미묘한 차이
democratise, 민주화하다
poll, 투표
reassurance, 안심
conserve, 설탕 절임
molecular, 분자
categorise, 분류하다
attune, 맞추다
composite, 합성물
intervention, 간섭
stabilise, 안정시키다
exceptional, 특별한
antibody, 항독소
respectability, 인습적 관습
whereby, 이로써
formative, 조형적인
destructive, 파괴적인
opus, 작
coax, 동축 케이블
capability, 능력
imagery, 형상
barque, 탠 껍질
steadfast, 확고부동한
environmentalist, 환경 운동가
innate, 타고난
parasite, 기생물
environmental, 환경
unscathed, 상처 없는
fluctuate, 변동하다
constructive, 건설적인
diminish, 줄다
recidivist, 상습범
retrieve, 검색하다
councilman, 의원
cringe, 움츠리다
dissipate, 분산시키다
imbed, 끼워 넣다
flatline, 플랫라인
equity, 형평성
concise, 간결한
predator, 포식자
catalogue, 목록
shipment, 선적
countless, 셀 수 없는
occupancy, 점유
commence, 시작하다
cornerstone, 기초
gratification, 보수
clinch, 클린치
genre, 장르
subsidy, 보조금
erode, 좀먹다
elicit, 유도하다
exotic, 이국적인
ritual, 의례
optimise, 최적화하다
distinct, 별개의
toddler, 유아
levy, 부과
nutrient, 영양소
fortify, 확고히 하다
picturesque, 그림 같은
venom, 독액
imperfect, 불완전한
dweller, 거주자
plagiarism, 표절
integral, 완전한
deteriorate, 악화하다
desperate, 자포자기한
valuation, 평가
delineate, 묘사하다
visualise, 시각화하다
replicate, 뒤로 젖히다
universalise, 보편화하다
revert, 돌아가는 것
degrade, 저하
episode, 삽화
neurotoxic, 신경독성
penalize, 처벌하다
acidification, 산성화
